,Company,Market Value (x €1.000)
1493,BP Captial Markets   PLC,11.167
1494,BPCE  Home   Loans  FCT,2.315
1495,Bpce  Sa,15.126
1496,BRACKEN    MIDCO   ONE,1.322
1497,BRANICKS   Group   AG,856
1498,BREAD   FINANCIAL   HLDGS,7.675
1499,Brenntag  AG,1.779
1500,Brinker International  Inc,1.722
1501,Bristol Myers  Squibb  Company,5.508
1502,BRITISH  AIRWAYS    PLC,2.941
1503,British Columbia   Province  oF,2.025
1504,British Telecommunications     PLC,2.381
1505,BRIXMOR    LLC,8.641
1506,BROADSTONE      NET  LEASE  LLC,1.705
1507,BUBBLES   BIDCO   SPA,1.588
1508,Buckeye  Partners   LP,9.031
1509,BUILDING   MATERIALS     CORP,3.037
1510,Bumper,2
1511,BURBERRY    GROUP    PLC,4.939
1512,BURFORD    CAPITAL   PLC,8.727
1513,Cable One   Inc,4.713
1514,CABLEVISION    LIGHTPATH,6.970
1515,CABOT   FINANCIAL    LUX SA,1.614
1516,CADENT   FINANCE    PLC,5.340
1517,CADILLAC   FAIRVIEW    PRP  TR,5.246
1518,CAESARS   ENTERTAINMENT       OP,12.723
1519,Caixabank,21.942
1520,Cajamar  Caja  Rural SCC,1.530
1521,CALDERYS   FINANCING     LLC,3.632
1522,California Institute of Technology,357
1523,CALIFORNIA    ST,3.499
1524,CALPINE   CORP,13.719
1525,CALRIV  SCI HLD  CORP,2.426
1526,Canadian   National  Railway  Co,1.179
1527,CANPCK,8.386
1528,CANTOR    FITZGERALD    LP,4.638
1529,Capital One  Bank  Usa  Na,6.839
1530,CARE  BIDCO   SAS,1.594
1531,Carnival Corp,16.462
1532,Carrefour  SA,1.515
1533,Cas Depositi  E Prestiti,1.092
1534,Cascades  Inc,3.636
1535,Cassa di Risparmio   di Parma  e Piacenza   SpA,2.625
1536,CASTLE  UK  FINCO   PLC,2.056
1537,Catalyst Paper  Corp,1.279
1538,CATAWBA     NATION   GAMING     AU,3.144
1539,Catholic Health  Initiati,787
1540,CBRE  GI OPEN   END  FUND,6.281
1541,CBRE  SERVICES   INC,713
1542,CDK  GLOBAL   INC,17.465
1543,CDW   CORP,7.103
1544,CEETRUS   SA,1.919
1545,CELANESE   US  HOLDINGS    LLC,3.110
1546,CELLNEX   TELECOM,3.417
1547,CENGAGE    LEARNING    HLDGS   II INC,889
1548,CENTRAL   NIPPON    EXPRESSWY,4.006
1549,CF Industries  Inc,3.167
1550,CGI INC,918
1551,CHAMPIONS     FINANCING     INC,4.554
1552,CHANEL   CERES   PLC,2.579
1553,Charles Schwab    Corp,1.099
1554,Chart Industries  Inc,9.349
1555,CHEPLAPHARM      ARZNEIMITTEL,4.977
1556, ,7.465
1557,Chorus  Ltd,954
1558,Chubb  Corporation,5.194
1559,Churchill Downs   Inc,5.809
1560,CINEMARK    USA   INC,13.068
1561,Cineworld   Group  PLC,6.866
1562,Citigroup Global  Markets   Ltd,219
1563,Citigroup Inc,49.665
1564,CITIGROUP    MORTGAGE      LOAN   TRUST,7
1565,Clean Harbors   Inc,2.540
1566,CLEAR  CHANNEL     WORLDWIDE,5.058
1567,CLEARWAY     ENERGY   OPERATIN,9.908
1568,CLYDESDALE    ACQUISITION,2.707
1569,Cma  Cgm   Sa,993
1570,CNP  Assurances,2.936
1571,CNTL  AMR   BOTTLING    CORP,4.064
1572,COGENT    COMMUNICATIONS        HO,5.101
1573,COLONIAL    PIPELINE  CO,5.436
1574,Columbia   Pipeline Group   Inc,7.560
1575,COLUMBIA     UNIVERSITY,497
1576,Comcast   Cable  Comm   Hldgs,10.271
1577,Comerica   Bank,1.456
1578,Commerzbank     AG,18.140
1579,Commonwealth      Bank  Australia,2.183
1580,COMMSCOPE      TECH   FINANCE   L,3.133
1581,COMPASS    DIVERSIFIED    HOLD,5.926
1582,COMPOSITE     RESINS  SUBHOLD,2.687
1583,Comunidad    De  Madrid,1.755
1584,CONCENTRA     INC,1.191
1585,CONDOR    MERGER     SUB  INC,1.217
1586,CONNECT    FINCO   SARL,4.425
1587,CONNECT    PLUS  ISSUER,412
1588,CONSOLIDATEC      COMM    FIN CO,4.006
1589,CONSOLIDATED      EDISON   INC,1.511
1590,CONSOLIDATED      ENERGY   FIN,505
1591,CONSTELLATION      BRANDS    INC,660
1592,CONSTELLIS   HOLDINGS     LLC,4.352
1593,CONSTELLIUM     NV,8.577
1594,Corebridge   Financial Inc,1.763
1595,CoStar  Group  Inc,941
1596,Coty Inc,6.376
1597,Council of Europe   Development     Bank,1.643
1598,COUNTRYWIDE      ALTERNATIVE     LOAN   T,147
1599,Covanta  Holding   Corp,2.243
1600,Coventry  Building  Society,7.629
1601,Cox Communications      Inc,6.524
1602,CPI Property  Group   SA,2.684
1603,CPUK  FINANCE    LTD,246
1604,CREDIT  ACCEPTANC,6.502
1605,Credit Agricole  Covered   Bonds,1.629
1606,CREDIT  AGRICOLE    SA,27.442
1607,CRELAN   SA,9.772
1608,Crescent  Point Energy   Corp,2.426
1609,Crocs Inc,5.355
1610,CROMWELL     EREIT  LU  FINCO,2.971
1611,CROWN    CASTLE   INTL CORP,7.792
1612,CROWN    CASTLE   TOWERS    LLC,1.021
1613,Ichi Mutual  Life,2.650
1614,CSC HOLDINGS     LLC,10.183
1615,Csn Islands Xi Corp,4.261
1616,CTP NV,2.758
1617,CULLINAN    HOLDCO,1.964
1618,Cvent  Inc,5.494
1619,CVS Health  Corp,9.256
1620,Dana  Holding  Corp,2.601
1621,DARLING   INGREDIENTS     INC,6.103
1622,DAVITA   HEALTHCARE     PARTNE,6.827
1623,"De Volksbank   N,V,",19.972
1624,DECK  CHASSIS   ACQ  INC,3.033
1625,Delta Air Lines,5.281
1626,DELUXE   CORP,8.716
1627,Denso  Corp,1.824
1628,DEUCE   FINCO,3.508
1629,Deutsche   Ann  Fin BV,9.553
1630,Deutsche   Bahn  Finance  BV,8.259
1631,Deutsche   Bank  AG,37.233
1632,Deutsche   Boerse  AG,1.487
1633,Deutsche   Telekom   AG,1.710
1634,Diageo  PLC,1.762
1635,Diebold  Inc,3.891
1636,Digital Realty Trust Lp,12.394
1637,DISH  DBS  CORP,13.115
1638,DnB  ASA,9.871
1639,DRAWBRIDGE      SPEC  OPPOR   FU,1.903
1640,Drax Group   PLC,2.158
1641,DS Smith  PLC,1.789
1642,DSB,1.780
1643,Dufry AG,8.527
1644,DUKE  UNIVERSITY    HEALTH,381
1645,DUOMO     BIDCO  SPA,1.688
1646,DYNAMO     NEWCO    II GMBH,5.414
1647,EAST  JAPAN   RAILWAY    CO,6.755
1648,ECO  MATERIAL    TECH   INC,4.179
1649,EDGE  FINCO   PLC,4.992
1650,Edgewell  Personal  Care  Co,5.330
1651,Edison  International,18.651
1652,EIRCOM   FINANCE    DAC,6.030
1653,Elastic NV,2.343
1654,ELECTRICITE   DE FRANCE,21.358
1655,ELEVANCE    HEALTH   INC,14.236
1656,Elia Transmission  BE,1.377
1657,Elior SCA,1.637
1658,Elis SA,516
1659,ELO  SACA,3.105
1660,EMERALD    DEBT   MERGER,8.893
1661,EMPIRE   COMMUNITIES      CORP,6.457
1662,ENBW   International  Finance   BV,14.235
1663,Encompass    Health  Corp,6.619
1664,ENDO   HEALTH   SOLUTIONS     IN,6.734
1665,Enel SpA,12.073
1666,EnergySolutions   Inc,9.601
1667,EnerSys,2.056
1668,Engie,21.982
1669,ENGINEERING     SPA,975
1670,Eni SpA,10.354
1671,Enlink Midstream    Partner,1.587
1672,ENTERCOM     MEDIA   CORP,3.073
1673,Enterprise  Rent  A Car USA  Finance   Company,5.367
1674,Entertainment   Properties,1.811
1675,EON  AG,15.836
1676,EPH  FIN INTERNATIONAL      AS,1.296
1677,EPHIOS  SUBCO    SARL,3.101
1678,EPIROC  AB,1.473
1679,EQT  AB,6.077
1680,EQT  MIDSTREAM     PARTNERS     L,3.631
1681,Equifax Inc,3.069
1682,Equinix Inc,5.429
1683,Equinor  ASA,1.645
1684,"EQUIPMENTSHARE,COM          INC",17.104
1685,Eroski S Coop,1.768
1686,Erste Bank  der Oestereichische    Sparkassen,974
1687,ETSA  UTILITIES  FINANCE,797
1688,Eurofima,5.628
1689,Eurofins Scientific,5.553
1690,Eurogrid  GMBH,25.705
1691,EUROPCAR     GROUPE    SA,1.334
1692,European   Union,75.601
1693,Europese   Investeringsbank,65.937
1694,Eutelsat SA,1.024
1695,Everest Re  Group   Ltd,3.054
1696,Everi Payments   Inc,11.069
1697,Exelon  Corp,4.413
1698,Experian  Finance  PLC,734
1699,Exxon  Mobil  Corp,1.110
1700,EYECARE   PARTNERS    LLC,1.285
1701,FABBRICA   ITA  SINTETICI,2.745
1702,Fairfax Financial Holdings  Ltd,11.388
1703,Fannie  Mae,56.374
1704,Fastighets AB  Balder,2.964
1705,FAURECIA,16.400
1706,FERGUSON     ENTERPRISES    INC,4.224
1707,FERGUSON     FINANCE   PLC,1.561
1708,Ferrovie Dello  Stato,5.660
1709,FHLMC   Multifamily   Structured  P,1.621
1710,"Fibercop  S,P,A,",18.032
1711,Fifth Third Ban  Corp,3.982
1712,Fingrid OYJ,3.893
1713,FIRE BC  SPA,727
1714,FIRST BRANDS    GROUP    LLC,9.657
1715,First Cash Financial Sercives,3.510
1716,First Industrial Realty Trust,146
1717,First Quantum   Minerals   LTD,4.489
1718,Flemish  Community,2.315
1719,FLORIDA   ST HURRICANE     CATASTROP,3.153
1720,Flowserve  Corp,728
1721,FLUTTER   TREASURY    DAC,1.283
1722,Fluviu System  OP,6.262
1723,FMC  Corp,6.960
1724,FMC  FINANCE    VII SA,3.092
1725,FMG   RESOURCES    AUG,2006
1726,FONCIA   MANAGEMENT        SASU,3.711
1727,FORD  MOTOR     COMPANY,42.075
1728,Fortum  OYJ,2.364
1729, ,8.076
1730,FREEDOM    MORTGAGE      CORP,11.663
1731,French  Republic  Government,3.594
1732,FRESSNAPF    HOLDING    SE,4.653
1733,FRONTIER   COMMUNICATIONS,8.519
1734,FS KKR  CAPITAL   CORP,555
1735,GAMENET     SPA,7.566
1736,GARDEN    SPINCO   CORP,3.863
1737,GARRETT    BORROWING      LLC,7.847
1738,GATWICK    AIRPORT   FINANCE,1.192
1739,General  Electric Co,4.137
1740,General  Mills Inc,852
1741,GENERAL    MOTORS    FINL  CO,24.159
1742,GENON    ENERGY   INC,5.768
1743,Genuine   Parts Co,1.579
1744,GEORGETOWN       UNIVERSITY,2.612
1745,GFL Environmental    Inc,8.204
1746,Gilead Sciences  Inc,3.736
1747,GLOBAL   ATLANTIC    FIN CO,1.660
1748,GLOBAL   INFRASTRUCTURE       SO,8.275
1749,GLOBAL   PAYMENTS     INC,8.889
1750,GLOBALWORTH       REAL  ESTATE,351
1751,Goeasy  Ltd,3.203
1752,GOLDEN    GOOSE   SPA,1.646
1753,Goldman   Sachs  Group   Inc,45.179
1754,Goodman    Funding   Pty Ltd,3.234
1755,GOOLD,623
1756,Gov  of Quebec,1.240
1757,Government    National  Mortgage    A,7 0
1758,Government    Of  Bermuda,1.747
1759,Grainger  PLC,571
1760,GRAND   CITY  PROPERTIES    SA,1.734
1761,GRAND   PARKWAY     TRANSPRTN     CORP   T,1.047
1762,GRAPHIC   PACKAGING     INTL,5.882
1763,GRAY  TELEVISION    INC,9.383
1764,GREEN   BIDCO   SAU,371
1765,Green  Lion,2.916
1766,GREYSTAR    REAL  ESTATE   PAR,904
1767,Grifols SA,16.517
1768,Group,1
1769,Groupe   Eurotunnel   SA,805
1770,GRUENENTHAL      GMBH,8.546
1771,GS Mortgage    Securities Trust,1.845
1772,GSK  CONSUMER     HEALTHCARE,1.545
1773,GSR  MORTGAGE      LOAN   TRUST,7
1774,GTA  FINANCE   CO  PTY  LTD,1.339
1775,GUARDIAN     LIFE GLOB  FUND,1.443
1776,HANESBRANDS      INC,3.305
1777,HARBORVIEW      MORTGAGE      LOAN   TRUST,1 6
1778,HARVEST    MIDSTREAM     I LP,9.959
1779,Health  Care Svcs  Corp,1.149
1780,Heathrow   Funding   Ltd,6.692
1781,Heimstaden    Bostad,5.422
1782,HEIMSTADEN     BOSTAD    AB,2.250
1783,HELIOS  SOFTWARE     HOLDINGS,5.371
1784,HERTZ  CORP,3.173
1785,HESS  MIDSTREAM     PARTNERS,3.346
1786,Hessen,824
1787,Highwoods    Realty Limited,408
1788,HILTON   GRAND    VAC  BORROWER,3.673
1789,Home   Depot  Inc,3.047
1790,HONG   KONG,2.555
1791,HSBC  HOLDINGS    PLC,19.478
1792,HT TROPLAST    AG,2.152
1793,HTA  GROUP    LTD,3.701
1794,Hub  International  Ltd,5.639
1795,Hubbell  Inc,7 4
1796,HUDSON    AUTOMOTIVE      GROUP,3.496
1797,Humana    Inc,4.922
1798,HUNT   COS  INC,5.401
1799,HUNTSMAN      INTERNATIONAL      L,1.717
1800,HYPERION    INSURANCE     GROUP,2.774
1801,Hyundai  Capital  America,6.644
1802,Iberdrola International   BV,11.506
1803,IBM  CORP,235
1804,IH MERGER    SUB  LLC,1.278
1805,IHS INC,5.929
1806,ILE DE FRANCE    MOBILITES,1.442
1807,ILIAD SA,36.835
1808,Illinois Tool Works  Inc,3.234
1809,Illumina Inc,1.538
1810,IMA  INDUSTRIA    MACCHINE,1.460
1811,IMCD  NV,2.639
1812,INCEPTION   FINCO   SARL,1.134
1813,INDIGO   MERGER    SUB  INC,1.106
1814,INEOS  GROUP    HOLDINGS    SA,7.241
1815,INFINEON   TECHNOLOGIES      AG,1.834
1816,INFORMA    PLC,6.223
1817,ING Groep   NV,25.241
1818,Ingram  Micro  Inc,5.626
1819,Inmarsat  PLC,5.005
1820,INNOVATE    CORP,5.230
1821,INPOST  NA,3.744
1822,INSPIRED   ENTERTAINMENT,1.503
1823,"Int, Bank for Rec, and  Dev,",3.299
1824,INTELLIGENT   PACKAGING,4.120
1825,INTELSAT   LUXEMBOURG       SA,5.471
1826,Intercontinental  Hotels  Group,1.525
1827,IntercontinentalExchange     Inc,2.037
1828,INTERFACE   INC,2.429
1829,International  Game   Technology,3.684
1830,Interpublic Group   of Cos  Inc,346
1831,INTL DESIGN   GROUP,814
1832,Intl development   assoc,928
1833,ION  TRADING   FINANCE    LTD,2.090
1834,IPD,3
1835,IQVIA  INC,11.610
1836,IRB HOLDING    CORP,1.942
1837,IRCA SPA,395
1838,IRON  MOUNTAIN      INC,14.302
1839,JAB HOLDINGS     BV,4.859
1840,JAGUAR   LAND   ROVER   AUTOMO,3.765
1841,Japan  Fin Org Municipal,9.801
1842,Jefferies Group  Inc,6.691
1843,JEFFERSON    CAPITAL  HOLDIN,5.220
1844,JERROLD   FINCO   PLC,4.579
1845,JETBLUE,2019
1846,JOBSOHIO    BEVERAGE    SYS  STWD   LIQ,591
1847,JOHN  LEWIS   PLC,4.263
1848,Johnson  Controls  International,5.095
1849,JP MORGAN     CHASE   COMMERCIAL      MOR,1.333
1850,Kaiser Foundation   Hospital,1.691
1851,KANE  BIDCO   LTD,3.452
1852,Katokichi Co  Ltd,1.615
1853,KBC  GROEP   NV,9.945
1854,Keb Hana   Ban,989
1855,KELDA  FINANCE,3
1856,KENBOURNE     INVEST   SA,1.718
1857,KENNEDY    WILSON    EUR  REAL,820
1858,Kering,2.249
1859,Key Corp,989
1860,Kilroy Realty Corporation,1.701
1861,KIMCO   REALTY   CORP,6.022
1862,KINETIK  HOLDINGS    LP,2.453
1863,Kinross Gold  Corp,7.242
1864,KNORR   BREMSE    AG,2.046
1865,Kommunalbanken       AS,1.015
1866,Kommuninvest     I Sverige,2.355
1867,Koninklijke Ahold   Delhaize  NV,6.579
1868,KONINKLIJKE    KPN  NV,2.731
1869,Koninklijke Philips NV,3.446
1870,Kookmin   Bank,5.307
1871,KOREA   HOUSING    FINANCE    CO,1.946
1872,Kraft Heinz  Foods  Co,1.504
1873,Kredietanstalt  fur Wiederaufbau,88.982
1874,LABORATOIRE     EIMER   SELARL,4.221
1875,Laboratory  Corp  of America   Hol,1.405
1876,LafargeHolcim   Ltd,4.182
1877,LAM  RESEARCH     CORP,790
1878,Lamb  Weston    Holdings  Inc,1.278
1879,LAND  O  LAKES  CAP  TRST  I,4.366
1880,Landwirtschaft   Rentenbank,15.846
1881,Lazard Group   Llc,666
1882,LCM  INVESTMENTS      HOLDINGS,7.092
1883,Leaseplan  Corporation   NV,4.409
1884,LEASYS  SPA,2.035
1885,Lecta SA,1.020
1886,LEEWARD    RENEWABL,4.813
1887,LEG Immobilien    AG,1.775
1888,Lehman   Brothers  Holdings   Inc,3
1889,LEIA FINCO   US LLC,8.938
1890,Lend  Lease Group,813
1891,LEVEL,3
1892,LFS TOPCO   LLC,6.756
1893,LGENERGYSOLUTION,1.586
1894,LHMC   FINCO  SARL,10.294
1895,LIBERTY  COSTA   RICA  SR SF,3.485
1896,LIBERTY  MUTUAL     GROUP   INC,6.603
1897,LIGHTNING    POWER    LLC,8.881
1898,Lithia Motors  Inc,1.341
1899,LKQ  CORP,108
1900,LLOYDS   BANK  PLC,9.263
1901,LOARRE   INVESTMENTS      SARL,2.526
1902,Loews  Corp,892
1903,LOGICOR   FINANCING     SARL,9.126
1904,LONDON    POWER    NETWORKS,1.813
1905,London   Stock Exchange   Group   PL,3.826
1906,LORCA   FINCO  PLC,1.970
1907,LORCA   TELECOM    BONDCO,15.149
1908,"Louis Dreyfus  Commodities     B,V,",3.625
1909,LOXAM    SAS,6.880
1910,LPL Financial Holdings   Inc,1.370
1911,LUCKY  BUCKS   LLC,2.083
1912,Lumen   Technologies   Inc,5.714
1913,LUNE  HOLDINGS     SARL,611
1914,Macquarie   Group   Ltd,903
1915,MADISON    IAQ  LLC,2.607
1916,MAGNERA     CORP,5.816
1917,MAHLE   GmbH,3.195
1918,MARCOLIN     SPA,394
1919,Markel  Corp,4.011
1920,Marriott  International  Inc,1.392
1921,MARRIOTT    VACATION     WORLDW,7.769
1922,MARS   INC,1.250
1923,MARVELL    TECHNOLOGY      GROUP,2.038
1924,MARYLAND     ST ECON   DEV   CORP,1.703
1925,Mass  Institute Of Tech,4.841
1926,Masterbrand    Inc,5.112
1927,Match  Group   Inc,3.029
1928,Mativ  Holdings  Inc,1.589
1929,MATTERHORN      MOBILE    HLDGS,5.085
1930,MCAFEE    INC,3.861
1931,Mce  Finance  Ltd,9.174
1932,Mdc  Holdings   Inc,1.489
1933,MEDNAX    Inc,2.104
1934,Medtronic   Inc,1.931
1935,MEIJI YASUDA    LIFE INSURA,579
1936,MERCER    INTL INC,2.490
1937,MERLIN   ENTERTAINMENTS       PL,1.741
1938,META   PLATFORMS     INC,222
1939,MetLife  Inc,4.050
1940,METROPCS     WIRELESS   INC,2.780
1941,MGIC  INVESTMENT      CORP,4.582
1942,MGM    RESORTS   INTL,3.218
1943,MICHIGAN    ST FIN  AUTH   REVENUE,2.256
1944,MICROCHIP    TECHNOLOGY      INC,1.828
1945,Micron  Technologies,1.729
1946,Microsoft  Corp,641
1947,MIDCAP   FINANCIAL    ISSR TR,4.115
1948,Mineral  Resources   Ltd,3.979
1949,Minerals  Technologies   Inc,3.831
1950,MINERVA    MERGER    SUB   INC,4.160
1951,Mirvac  Group,1.022
1952,MISA  INVESTMENTS      LTD,6.211
1953,Mitsubishi  UFJ Financial  Group,7.311
1954,MIWD   HOLDCO     II LLC,1.332
1955,Mizuho   Bank  Ltd,15.269
1956,MODENA     BUYER   LLC,1.624
1957,MOHEGAN      TRIBAL  GAMING    AU,5.405
1958,MOLINA    HEALTHCARE     INC,1.636
1959,Mondelez   International  Inc,2.365
1960,MONDI    PLC,1.975
1961,MORGAN     STANLEY,41.931
1962,Motability  Operations   Group  Plc,8.504
1963,Motorola   Inc,2.518
1964,MOZART    DEBT   MERGER    SUB,7.068
1965,MSCI  Inc,450
1966,MT  SINAI  HOSPITAL,1.092
1967,MULTIVERSITY     SRL,2.108
1968,Municipality  Finance  Plc,2.054
1969,National  Bank  of Australia,1.643
1970,NATIONAL    GRID  PLC,17.155
1971,NATIONSTAR     MTG   HLD  INC,12.845
1972,Nationwide   Building  Society,8.696
1973,NATL  GAS  TRANSMISSION,6.792
1974,Naturgy  Capital Markets,1.982
1975,Natwest  Group   PLC,20.643
1976,NBN  CO  LTD,11.993
1977,NCI BUILDING    SYSTEMS   INC,8.035
1978,NCR  ATLEOS   ESCROW    CORP,3.347
1979,NCR  Voyix  Corp,980
1980,"Nederlandse   Fin,Mij, voor  Ontwikkelingslanden",1.864
1981,Nederlandse   Gasunie   NV,1.606
1982,Nederlandse   Waterschapsbank,5.826
1983,NESCO   HOLDINGS    II INC,4.492
1984,NESTE  OIL  OYJ,2.986
1985,Nestle SA,7.325
1986,New  Europe   Property  Investment   Plc,5.548
1987,New  Fortress  Energy  Inc,3.302
1988,NEW   JERSEY  ST TRANSPRTN     TRUST,2.230
1989,NEW   YORK  NY,1.229
1990,NEW   YORK  ST  URBAN   DEV   CORP  REV,3.108
1991,NEWELL   RUBBERMAID      INC,2.637
1992,Nexi SpA,8.333
1993,Nextera  Energy  Capital,6.915
1994,NEXUS   CO  LTD,11.233
1995,NH  HOTELES   SA,1.668
1996,Nippon  life insurance,357
1997,NISSAN   MOTOR    CO  LTD,2.105
1998,NN  GROUP    NV,10.581
1999,NOBEL   BIDCO   BV,1.536
2000,Nokia  OYJ,2.900
2001,Nomura   International  PLC,4.809
2002,NORDEA    KREDIT   REALKREDIT,2.787
2003,Nordic  Investment   Bank,1.205
2004,Nordson   Corp,2.577
2005,NORFOLK    SOUTHERN     CORP,3.180
2006,NORTHERN     TRUST   COMPANY     LONDON,13.398
2007,Northern   Trust Global  Funds  PL,27.436
2008,NORTHERN     TRUST   INTERN   BANK,64.436
2009,Northumbrian    Water   Group  PLC,1.280
2010,Norwegian   Cruise  Line HoldingsNCLH,5.619
2011,NOVA   CHEMICALS     CORP,2.873
2012,NOVELIS   INC,12.288
2013,NRG  ENERGY    INC,878
2014,NTT  Data Corp,13.379
2015,Nufarm   Ltd,2.550
2016,Nustar  Pipeline Oper,3.701
2017,NVR  INC,3.934
2018,NXP  Semiconductor    NV,3.981
2019,Nykredit,124
2020,Oceaneering   Intl Inc,2.057
2021,OHIO  NAT   FINANCIAL   SRVS,4.387
2022,OHIO  ST UNIV,910
2023,OHIOHEALTH     CORP,2.392
2024,OI EUROPEAN     GROUP    BV,7.639
2025,Oncor  Electric Delivery,7.398
2026,ONE  HOTEL   GMBH,3.743
2027,ONEMAIN     FINANCE   CORP,23.143
2028,Oneok   Inc,9.013
2029,ONTARIO    TEACHERS    FINANCE   TRUST,4.241
2030,OP Corporate   Bank  PLC,3.446
2031,OPEN   TEXT  CORP,6.316
2032,Optics Bidco  SpA,1.217
2033,Oracle Corp,17.938
2034,Orange  SA,5.679
2035,ORBIA  ADVANCE     CORP   SAB,2.871
2036,ORLANDO     HEALTH   OBL  GRP,1.011
2037,OSCAR   ACQUISITIONCO      LLC,2.554
2038,Otis Worldwide    Corp,2.858
2039,Owens   Corning  Inc,3.434
2040,Pacific Life Corp,260
2041,PAETEC   HOLDING    CORP,8.788
2042,PANTHER    BF AGGREGATOR,2
2043,PANTHER    ESCROW    ISSUER,6.208
2044,PAPREC   HOLDING,9.023
2045,PARAMOUNT      GLOBAL,3.758
2046,Park intermed   holdings,9.088
2047,Parkland  Fuel Corp,2.726
2048,Pattern Energy   Group  Inc,3.143
2049,PEABODY    CAPITAL   NO  TWO,391
2050,PEACEHEALTH     OBLIGATED     GR,292
2051,Pearson  Plc,1.852
2052,Pebblebrook   Hotel  Trust,6.057
2053,PENINSULA    GAMING    LLC,5.520
2054,Pennon   Group  PLC,2.060
2055,PENNSYLVANIA     ST  UNIV,1.529
2056,PENSION   INSURANCE,1.971
2057,PERFORMANCE       FOOD   GROUP    I,8.982
2058,Perrigo Co,4.485
2059,Pertamina   Pt,1.175
2060,PERU  BONO    SOBERANO,633
2061,PEU  FIN LTD,1.992
2062,PHILLIPS  EDISON   GROCERY,2.349
2063,PHINIA  INC,4.943
2064,PHYSICIANS   REALTY   LP,2.640
2065,Pike Corp,4.209
2066,PINEWOOD     FINCO   PLC,5.308
2067,PINNACLE   BIDCO   PLC,9.638
2068,"PIRAEUS   BANK   S,A,",1.610
2069,PLACES  FOR   PEOPLE   TREAS,5.161
2070,Playtech  Ltd,1.010
2071,PLAYTIKA   HOLDING    CORP,8.213
2072,PLT VII Finance  SARL,784
2073,PNC  Financial Services  Group   I,2.600
2074,Post Holdings  Inc,13.262
2075,PPF TELECOM     GROUP   BV,4.331
2076,PRAIRIE  ECI ACQUIROR     LP,4.658
2077,PREMIER   FOODS    PLC,3.395
2078,PRESIDIO   HOLDING    INC,4.613
2079,Primo  Water  Corp,6.095
2080,Principal Financial Group   Inc,1.149
2081,PROG   HOLDINGS    INC,5.875
2082,Prologis International  Fund  II,17.824
2083,Prologis LP,4.834
2084,PROV  ST  JOSEPH   HLTH  OBL,2.349
2085,Province  of Ontario,9.596
2086,Proximus,6.126
2087,PRYSMIAN    SPA,2.429
2088,Public Service  Enterprise  Grou,8.887
2089,PUNCH   FINANCE    PL,724
2090,PVH  Corp,1.048
2091,PVTPL  NEW   COTAI   PARTIICIPATION    CORP   CL BCOM    STK,8 9
2092,QUALCOMM       Inc,6.183
2093,QUEENS   HEALTH    SYSTEMS,916
2094,QUINTIS   AUS  PTY LTD,105
2095,QVC  INC,8.028
2096,Rabobank   Nederland    NV,2.805
2097,RAKUTEN    INC,7.074
2098,RAYONIER    INC,1.067
2099,REALKREDIT    DANMARK,111
2100,Realty Income   Corp,12.486
2101,Reckitt Benckiser  Group   PLC,2.935
2102,Regal Rexnord   Corp,1.206
2103,Regie Autonome     Des  Trans,1.216
2104,REGIONALCARE      HOSPITAL   PR,13.383
2105,Reinsurance   Group   of America  Inc,1.109
2106,"Relx Capital Inc,",1.031
2107,"RENAULT    S,A,",13.815
2108,RENTOKIL   INITIAL  PLC,1.233
2109,REPSOL   INTL FINANCE,9.265
2110,Republic  of Chile,8.575
2111,Republic  of Hungary,13.847
2112,Republic  of Indonesia,1.908
2113,Republic  of Italy,4.210
2114,Republic  Of Philippines,592
2115,Republic  Of Poland,10.767
2116,RESA  SA BELGIUM,390
2117,RESEAU   FERRE   DE FRANCE,224
2118,REXEL  SA,4.096
2119,RIMINI  BIDCO   SPA,1.249
2120,RingCentral  Inc,2.238
2121,Ritchie Bros Auctioneers    Inc,5.729
2122,RLJ LODGING    TRUST   LP,4.793
2123,Robert  Bosch  Investment,640
2124,Roche  Holding  AG,6.991
2125,ROCKET   SOFTWARE     INC,4.284
2126,Rogers  Communications     Inc,11.351
2127,Rohm   and  Haas  Co,1.317
2128,Romania,4.971
2129,ROPER   INDUSTRIAL    PRODUCT,1.390
2130,ROQUETTE    FRERES   SA,1.536
2131,ROSSINI  SARL,2.394
2132,ROYAL   BK CANADA,1.169
2133,Royal Caribbean   Cruises  Ltd,7.259
2134,RRD  PARENT   INC,4.999
2135,Ryder  System  Inc,6.649
2136,Sagax  AB,4.496
2137,SAKS  GLOBAL   ENTERPRISES,3.463
2138,Sally Beauty  Holdings  Inc,3.908
2139,Sampo   OYJ,1.377
2140,SANDOZ    GROUP   AG,2.373
2141,SanPaolo  IMI  SpA,25.233
2142,Santander   UK Plc,9.938
2143,SAZKA  GROUP    AS,3.065
2144,SCENTRE   MGMT     LTD,546
2145,SEALED   AIR CORP,4.709
2146,Segro  PLC,1.612
2147,Select Medical  Holdings   Corp,3.666
2148,SELP FINANCE    SARL,11.282
2149,Sempra   Energy,11.453
2150,Sensata  Technologies   Holding  N,2.972
2151,SERVICE  CORP   INTL,6.769
2152,SERVICE  PROPERTIES     TRUST,10.015
2153,SES SA,1.127
2154,Severn  Trent PLC,5.234
2155,Shinhan  Bank,6.497
2156,Siemens  AG,4.941
2157,SIEMENS   ENERGY    FINAN   BV,936
2158,SILFIN NV,2.017
